"city","city_ascii","state_id","state_name","county_name"
"New York","New York","NY","New York","Queens"
"Los Angeles","Los Angeles","CA","California","Los Angeles"
"Chicago","Chicago","IL","Illinois","Cook"
"Miami","Miami","FL","Florida","Miami-Dade"
"Dallas","Dallas","TX","Texas","Dallas"
"Houston","Houston","TX","Texas","Harris"
"Philadelphia","Philadelphia","PA","Pennsylvania","Philadelphia"
"Atlanta","Atlanta","GA","Georgia","Fulton"
"Washington","Washington","DC","District of Columbia","District of Columbia"
"Boston","Boston","MA","Massachusetts","Suffolk"
"Phoenix","Phoenix","AZ","Arizona","Maricopa"
"Detroit","Detroit","MI","Michigan","Wayne"
"Seattle","Seattle","WA","Washington","King"
"San Francisco","San Francisco","CA","California","San Francisco"
"San Diego","San Diego","CA","California","San Diego"
"Minneapolis","Minneapolis","MN","Minnesota","Hennepin"
"Brooklyn","Brooklyn","NY","New York","Kings"
"Tampa","Tampa","FL","Florida","Hillsborough"
"Denver","Denver","CO","Colorado","Denver"
"Queens","Queens","NY","New York","Queens"
"Baltimore","Baltimore","MD","Maryland","Baltimore"
"Las Vegas","Las Vegas","NV","Nevada","Clark"
"Saint Louis","St. Louis","MO","Missouri","saint louis"
"Portland","Portland","OR","Oregon","Multnomah"
"Riverside","Riverside","CA","California","Riverside"
"Orlando","Orlando","FL","Florida","Orange"
"Sacramento","Sacramento","CA","California","Sacramento"
"San Juan","San Juan","PR","Puerto Rico","San Juan"
"San Antonio","San Antonio","TX","Texas","Bexar"
"San Jose","San Jose","CA","California","Santa Clara"
"Pittsburgh","Pittsburgh","PA","Pennsylvania","Allegheny"
"Cincinnati","Cincinnati","OH","Ohio","Hamilton"
"Manhattan","Manhattan","NY","New York","New York"
"Cleveland","Cleveland","OH","Ohio","Cuyahoga"
"Indianapolis","Indianapolis","IN","Indiana","Marion"
"Austin","Austin","TX","Texas","Travis"
"Kansas City","Kansas City","MO","Missouri","Jackson"
"Columbus","Columbus","OH","Ohio","Franklin"
"Charlotte","Charlotte","NC","North Carolina","Mecklenburg"
"Virginia Beach","Virginia Beach","VA","Virginia","Virginia Beach"
"Bronx","Bronx","NY","New York","Bronx"
"Milwaukee","Milwaukee","WI","Wisconsin","Milwaukee"
"Providence","Providence","RI","Rhode Island","Providence"
"Jacksonville","Jacksonville","FL","Florida","Duval"
"Salt Lake City","Salt Lake City","UT","Utah","Salt Lake"
"Nashville","Nashville","TN","Tennessee","Davidson"
"Raleigh","Raleigh","NC","North Carolina","Wake"
"Memphis","Memphis","TN","Tennessee","Shelby"
"Louisville","Louisville","KY","Kentucky","Jefferson"
"Richmond","Richmond","VA","Virginia","Richmond"
"Buffalo","Buffalo","NY","New York","Erie"
"Oklahoma City","Oklahoma City","OK","Oklahoma","Oklahoma"
"Bridgeport","Bridgeport","CT","Connecticut","Fairfield"
"New Orleans","New Orleans","LA","Louisiana","Orleans"
"Fort Worth","Fort Worth","TX","Texas","Tarrant"
"Hartford","Hartford","CT","Connecticut","Hartford"
"Tucson","Tucson","AZ","Arizona","Pima"
"Honolulu","Honolulu","HI","Hawaii","Honolulu"
"McAllen","McAllen","TX","Texas","Hidalgo"
"Omaha","Omaha","NE","Nebraska","Douglas"
"El Paso","El Paso","TX","Texas","El Paso"
"Albuquerque","Albuquerque","NM","New Mexico","Bernalillo"
"Rochester","Rochester","NY","New York","Monroe"
